seq,menu_file,item_id,title_ref,title_zh,domain,phase,status,owner,verify,notes
11,backup_restore.xml,@+id/menu_help,@string/help,帮助,导入导出与备份,P8,pending,-,-,-
12,backup_restore.xml,@+id/menu_log,@string/log,日志,导入导出与备份,P8,pending,-,-,-
13,book_cache.xml,@+id/menu_download,@string/action_download,下载,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_download_task_service.dart lib/features/bookshelf/views/cache_export_view.dart lib/features/bookshelf/views/cache_export_placeholder_view.dart lib/features/bookshelf/views/bookshelf_view.dart；flutter test test/widget_test.dart 通过；flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->下载->确定；校验下载前出现“提醒/是否确认缓存当前列表书籍？”，下载中顶栏动作切换“停止”，停止后回落“下载”且已缓存章节计数增长,对齐 legado CacheActivity.menu_download 与 CacheBook.start/stop 语义: 顶栏一级下载入口默认执行“当前章节到末章”批量缓存；运行中同入口切换为停止；点击前需确认且失败仅记录日志
14,book_cache.xml,@+id/menu_book_group,@string/group,分组,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->顶栏分组->切换 全部 本地 网络未分组 本地未分组,对齐 legado CacheActivity.menu_book_group 语义: 顶栏新增一级分组入口；菜单回显当前分组并按分组切换当前列表；下载与导出动作仅作用于当前分组列表
15,book_cache.xml,@+id/menu_export_all,@string/export_all,导出所有,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；flutter test test/widget_test.dart 通过；flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->更多->导出所有->选择导出文件夹；校验导出完成弹窗显示成功/跳过/失败统计与导出目录,对齐 legado CacheActivity.menu_export_all 语义: 顶栏更多菜单触发导出所有；优先复用已保存导出目录，不可用时重新选择目录；按当前列表书籍批量导出已缓存章节 TXT 并记录失败日志（自定义 Epub 导出与导出格式配置保留到 seq17/24）
16,book_cache.xml,@+id/menu_enable_replace,@string/replace_purify,替换净化,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->更多->替换净化；切换后执行导出所有并比对替换规则命中前后文本差异（TXT 与 EPUB）,对齐 legado CacheActivity.menu_enable_replace + ExportBookService.useReplace 语义: 顶栏更多菜单补齐 checkable“替换净化”入口；菜单打开按 exportUseReplace 回显勾选态；点击后翻转并持久化同名键；导出链路仅在 exportUseReplace 与书籍替换净化开关同时开启时应用替换规则
17,book_cache.xml,@+id/menu_enable_custom_export,@string/custom_export_section,自定义Epub导出章节,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；flutter test test/widget_test.dart 通过；flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->更多->自定义Epub导出章节；返回后重进缓存/导出页再次打开更多；校验勾选态切换与持久化回显,对齐 legado CacheActivity.menu_enable_custom_export 语义: 顶栏更多菜单补齐 checkable“自定义Epub导出章节”入口；菜单打开按 enableCustomExport 回显勾选态；点击后翻转并持久化同名键（导出行为联动保留到 seq18~25）
18,book_cache.xml,@+id/menu_export_web_dav,@string/export_to_web_dav,导出到 WebDav,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；flutter test test/widget_test.dart 通过；flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->更多->导出到 WebDav；返回后重进缓存/导出页再次打开更多；校验勾选态切换与持久化回显,对齐 legado CacheActivity.menu_export_web_dav 语义: 顶栏更多菜单补齐 checkable“导出到 WebDav”入口；菜单打开按 webDavCacheBackup 回显勾选态；点击后翻转并持久化同名键（实际导出上传能力由后续导出链路序号继续收敛）
19,book_cache.xml,@+id/menu_export_no_chapter_name,@string/export_no_chapter_name,TXT 不导出章节名,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；flutter test test/widget_test.dart 通过；flutter test test/search_book_info_view_compile_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->更多->TXT 不导出章节名；开启后执行导出所有并检查 txt 输出不包含章节标题，关闭后恢复章节标题输出,对齐 legado CacheActivity.menu_export_no_chapter_name + ExportBookService.includeTitle 语义: 顶栏更多菜单补齐 checkable“TXT 不导出章节名”入口；菜单打开按 exportNoChapterName 回显勾选态；点击后翻转并持久化同名键并驱动 TXT 导出章节标题开关
20,book_cache.xml,@+id/menu_export_pics_file,@string/export_pics_file,TXT 导出图片,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；flutter test test/widget_test.dart 通过；手工路径（待回归）: 书架->更多->缓存/导出->更多->TXT 导出图片->开启后执行导出所有；校验导出目录生成 {书名_作者}/images/{章节} 图片文件且开关状态可持久化回显,对齐 legado CacheActivity.menu_export_pics_file + ExportBookService.exportTxt 语义: 顶栏更多菜单补齐 checkable“TXT 导出图片”入口；菜单打开按 exportPictureFile 回显勾选态；点击后翻转并持久化同名键并在 TXT 导出中解析章节 <img src> 后按书籍/章节目录写出图片文件
21,book_cache.xml,@+id/menu_parallel_export,@string/parallel_export_book,多线程导出,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->更多->多线程导出（校验勾选态切换与持久化回显）；开启后执行导出所有（校验并发导出开关生效，导出成功/失败统计正常）,对齐 legado CacheActivity.menu_parallel_export + ExportBookService.parallelExportBook 语义: 顶栏更多菜单补齐 checkable“多线程导出”入口；菜单打开按 parallelExportBook 回显勾选态；点击后翻转并持久化同名键；导出链路按开关切换并发度（关闭=1，开启=9）
22,book_cache.xml,@+id/menu_export_folder,@string/export_folder,导出文件夹,书架/缓存/分组,P6,done,codex,手工路径: 书架->更多->缓存/导出->顶栏更多->导出文件夹；校验选择目录后返回列表无导出任务触发并在后续导出所有时可复用新目录,对齐 legado CacheActivity.menu_export_folder 语义: 顶栏更多菜单新增导出文件夹一级入口；点击后仅打开目录选择并保存 exportBookPath，取消选择静默返回且不触发导出
23,book_cache.xml,@+id/menu_export_file_name,@string/export_file_name,导出文件名,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->更多->导出文件名->输入 name + 作者 + author->确定->导出所有；校验导出文件名按规则生成且规则非法时回退默认命名并记录日志,对齐 legado CacheActivity.menu_export_file_name + Book.getExportFileName 语义: 顶栏更多菜单新增导出文件名入口；弹窗标题“导出文件名”、提示“Variable: name, author.”、输入 hint“file name js”；确认后写入同名键 bookExportFileName；TXT 导出命名改为按 JS 规则解析（变量 name/author，异常回退默认名并记录日志）
24,book_cache.xml,@+id/menu_export_type,@string/export_type,导出格式,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/cache_export_task_service.dart lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->更多->导出格式(txt/epub)->切换后执行导出所有,对齐 legado CacheActivity.menu_export_type + startExport 语义: 顶栏更多菜单新增“导出格式(当前值)”入口并回显当前格式；点击后单选切换并持久化 exportType；导出所有按 exportType 分支执行（txt/epub）
25,book_cache.xml,@+id/menu_export_charset,@string/export_charset,导出编码,书架/缓存/分组,P6,done,-,-,-
26,book_cache.xml,@+id/menu_log,@string/log,日志,书架/缓存/分组,P6,pending,-,-,-
27,book_cache_download.xml,@+id/menu_download_after,@string/menu_download_after,下载之后章节,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/cache_export_view.dart；手工路径（待回归）: 书架->更多->缓存/导出->长按顶栏下载->下载之后章节；校验触发后与顶栏“下载”一致：未运行时弹“提醒/是否确认缓存当前列表书籍？”并从当前章节缓存到末章，运行中触发则停止任务,对齐 legado CacheActivity.menu_download_after 语义: 下载按钮长按弹层新增“下载之后章节”入口；点击后与 menu_download 同义复用“当前章节到末章”缓存链路并保持运行中可停止
28,book_cache_download.xml,@+id/menu_download_all,@string/menu_download_all,下载全部章节,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/views/cache_export_view.dart lib/features/bookshelf/services/cache_download_task_service.dart；手工路径（待回归）: 书架->更多->缓存/导出->长按顶栏下载->下载全部章节；校验确认后从第1章开始缓存到末章并回显进度，缓存进行中再次长按触发下载全部章节应停止任务并回落“下载”态,对齐 legado CacheActivity.menu_download_all 语义: 下载按钮长按弹层新增“下载全部章节”入口；点击后在空闲态复用 sure_cache_book 确认并以 0..lastChapterIndex 范围执行缓存，运行中触发则走 CacheBook.stop 停止任务
29,book_group_manage.xml,@+id/menu_add,@string/add_group,添加分组,书架/缓存/分组,P6,done,codex,命令: dart format lib/features/bookshelf/services/bookshelf_book_group_store.dart lib/features/bookshelf/views/bookshelf_group_manage_placeholder_dialog.dart；手工路径（待回归）: 书架->更多->分组管理->右上角添加->填写分组名称/选择封面/排序/允许下拉刷新->确定；校验名称为空提示“分组名称不能为空”且可选择封面与排序并保存；达到64组时提示“分组已达上限(64个)”并禁止继续添加,对齐 legado book_group_manage/menu_add + GroupManageDialog.menu_add + GroupEditDialog.add 语义: 分组管理弹层右上角“添加分组”一级动作点击后进入结构化编辑弹窗（分组名称/封面/排序/允许下拉刷新）；确认后按 legacy 未使用位 groupId 与 maxOrder+1 写入分组存储并刷新列表
30,book_info.xml,@+id/menu_edit,@string/edit,编辑,搜索/详情/目录,P2,done,codex,flutter test test/search_book_info_edit_helper_test.dart test/search_book_info_menu_helper_test.dart test/search_book_info_view_edit_action_test.dart 通过; 手工路径: 书架点开书籍详情->顶栏编辑->进入编辑书籍信息页,确认仅书架内书籍显示编辑入口并保持 legado menu_edit->BookInfoEditActivity 同义触发语义
67,book_read.xml,@+id/menu_toc_regex,@string/txt_toc_rule,TXT 目录规则,阅读与朗读,P3,done,codex,flutter test test/reader_txt_toc_rule_dialog_test.dart test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->本地 TXT 书籍->顶部 TXT 目录规则->选择规则->确定,确认取消不生效且确定后立即重建目录并保持 menu_toc_regex 同义触发语义
68,book_read.xml,@+id/menu_set_charset,@string/set_charset,设置编码,阅读与朗读,P3,done,codex,flutter test test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->本地书籍->顶部设置编码->输入 GBK -> 确定,确认设置编码入口为顶栏一级动作且阅读操作菜单不再出现该项，输入式对话框支持自由输入并在本地 TXT 与非 TXT 场景都触发目录重载，取消不生效且不追加扩展成功提示
69,book_read.xml,@+id/menu_add_bookmark,@string/bookmark_add,添加书签,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->添加书签；阅读页九宫格点击动作配置为“添加书签”后点击触发；校验均弹出书签编辑框，取消不落库，确定后新增书签并在目录书签页可见,将 menu_add_bookmark 从“有则删无则加”收敛为 legado 同义“始终打开编辑弹窗后确认新增”；默认预填当前阅读页文本并记录章节进度，书签跳转补齐按 chapterPos 恢复阅读进度
70,book_read.xml,@+id/menu_edit_content,@string/edit_content,编辑内容,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->编辑正文->重置；阅读页->阅读操作->编辑正文->关闭；阅读页->阅读操作->反转内容,补齐 menu_edit_content 正文抓取失败兜底：记录 reader.menu.<action>.fetch_content_failed 日志并回退当前显示内容；编辑页重置期间新增全屏遮罩与整页交互锁定，关闭/返回保持自动保存语义
71,book_read.xml,@+id/menu_page_anim,@string/book_page_anim,翻页动画（本书）,阅读与朗读,P3,done,codex,flutter test test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart 通过；手工路径: 阅读页->阅读操作->翻页动画（本书）->选择 默认/覆盖/滑动/仿真/滚动/无,菜单动作由打开界面设置收敛为 legado 同义单选弹层；新增本书翻页动画持久化并在阅读会话叠加覆盖；样式面板改全局翻页动画时清除本书覆盖以对齐 legado pageAnim=-1 边界
72,book_read.xml,@+id/menu_get_progress,@string/get_book_progress,拉取云端进度,阅读与朗读,P3,done,codex,手工路径: 阅读页(已配置 WebDav)->阅读操作->获取进度; 校验云端无进度静默返回、云端进度落后时弹“当前进度超过云端，是否覆盖为云端进度？”确认框、越界章节索引不覆盖本地进度,拉取链路收敛为 legado 同义：无配置/空目录/云端无数据时静默返回；失败仅写 reader.menu.get_progress.failed 日志；云端进度领先时直接同步并记录“自动同步阅读进度成功《书名》 章节名”日志；兼容 legado 原始 durChapterPos 场景时按章节内容长度估算章节进度
73,book_read.xml,@+id/menu_cover_progress,@string/cover_book_progress,覆盖云端进度,阅读与朗读,P3,done,codex,手工路径: 阅读页(已配置 WebDav)->阅读操作->覆盖云端进度; 校验同步开关关闭/未配置/空目录时静默返回，上传成功提示“上传成功”，上传失败提示“上传进度失败\\n<原因>”且日志页可观测,覆盖进度链路收敛为 legado 同义：先保存本地进度再上传；失败写 reader.menu.cover_progress.failed 日志并保留失败提示；菜单文案由“覆盖进度”收敛为“覆盖云端进度”
74,book_read.xml,@+id/menu_reverse_content,@string/reverse_content,反转内容,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书且当前章节已缓存正文)->阅读操作->反转内容; 校验入口仅在线书显示、点击后当前章节正文按字符级倒序并立即刷新、无缓存正文时静默返回,将 menu_reverse_content 从“按行倒序 + 缺正文提示 + 兜底拉取正文”收敛为 legado 同义“按字符倒序 + 仅处理已缓存正文 + 缺失静默返回”；菜单文案由“正文倒序”收敛为“反转内容”
75,book_read.xml,@+id/menu_simulated_reading,@string/simulated_reading,模拟追读,阅读与朗读,P3,done,codex,flutter test test/simple_reader_view_compile_test.dart 通过; flutter test test/reader_legacy_menu_helper_test.dart 通过; flutter test test/reader_catalog_sheet_test.dart 通过,将 menu_simulated_reading 从“自动阅读占位开关”收敛为 legado 同义“配置弹窗(启用/起始章节/每日章节/开始日期) -> 落盘 -> 重载阅读会话”；补齐 simulatedTotalChapterNum 同义计算并将目录可见章节数与底部章节导航上限对齐到可读章节边界
76,book_read.xml,@+id/menu_enable_replace,@string/replace_rule_title,替换净化,阅读与朗读,P3,done,codex,flutter test test/reader_legacy_menu_helper_test.dart 通过; flutter test test/simple_reader_view_compile_test.dart 通过,将 menu_enable_replace 从“启用替换规则 + 切换后 toast”收敛为 legado 同义“替换净化 checkable 入口 + 点击即切换并刷新正文（无额外提示）”；菜单文案统一为“替换净化”，状态保持按书籍级 useReplaceRule 持久化
77,book_read.xml,@+id/menu_same_title_removed,@string/same_title_removed,移除重复标题,阅读与朗读,P3,done,codex,flutter test test/reader_legacy_menu_helper_test.dart 通过; flutter test test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->阅读操作->移除重复标题,菜单文案由“同名标题去重”收敛为 legado 同义“移除重复标题”；勾选态收敛为“当前章节实际发生重复标题移除”；点击动作收敛为 legado 同义“按 !sameTitleRemoved 翻转章节级开关并重载当前章节”，仅在“当前章节未移除且已处于启用态”提示“未找到可移除的重复标题”，章节缺失场景静默返回
78,book_read.xml,@+id/menu_re_segment,@string/re_segment,重新分段,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->重新分段; 校验勾选态随书籍级开关切换并立即重载当前章节且不追加提示,动作收敛为 legado 同义“切换书籍级 reSegment 后直接重载正文”；重载前先保存当前进度并按当前章节恢复位置以避免阅读位置漂移
79,book_read.xml,@+id/menu_enable_review,@string/review,段评,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作; 校验菜单不显示“段评”且其它菜单顺序保持不变,对照 legado `book_read.xml` 中 `menu_enable_review` 默认 `visible=false` 且 `ReadBookActivity` 事件分支处于注释状态；SoupReader 补齐隐藏占位动作并保持默认不展示不触发以对齐同义语义
80,book_read.xml,@+id/menu_del_ruby_tag,@string/del_ruby_tag,删除ruby标签,阅读与朗读,P3,done,codex,手工路径: 阅读页(EPUB书籍)->阅读操作->删除ruby标签; 校验入口仅 EPUB 显示、勾选态随开关切换、切换后触发全量内容刷新并重载当前章节,对照 legado `menu_del_ruby_tag`：文案由“删除 ruby 标签”收敛为“删除ruby标签”；清理规则由“删除 ruby/rt/rp 标签”收敛为仅删除 `rt/rp`；切换后刷新由“保留当前章内存内容的清缓存”收敛为全量清缓存并重载当前章节以贴齐 `refreshContentAll`
81,book_read.xml,@+id/menu_del_h_tag,@string/del_h_tag,删除h标签,阅读与朗读,P3,done,codex,手工路径: 阅读页(EPUB书籍)->阅读操作->删除h标签; 校验入口仅 EPUB 显示、勾选态切换后整段 h1~h6 节点(含标题文本)从正文移除、切换后全量清缓存并重载当前章节且无额外提示,对照 legado menu_del_h_tag：文案由“删除 h 标签”收敛为“删除h标签”；h 标签处理由“仅去标签保留标题文本”收敛为“删除 h1~h6 整段节点内容”；切换后继续复用全量清缓存并重载当前章节链路，保持 checkable 语义
82,book_read.xml,@+id/menu_image_style,@string/image_style,图片样式,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->图片样式->选择 DEFAULT/FULL/TEXT/SINGLE; 校验样式切换后正文即时重载且 SINGLE 分支仅当前书籍强制覆盖翻页动画,对齐 legado menu_image_style 语义: 四档样式按书籍级持久化; SINGLE 联动由“全局改覆盖”收敛为“仅书籍级 pageAnim=覆盖”且不污染全局设置
83,book_read.xml,@+id/menu_update_toc,@string/update_toc,更新目录,阅读与朗读,P3,done,codex,flutter test test/reader_top_menu_test.dart test/reader_legacy_menu_helper_test.dart test/simple_reader_view_compile_test.dart test/search_book_info_refresh_helper_test.dart 通过; flutter test test/reader_catalog_sheet_test.dart 通过; 手工路径: 阅读页->阅读操作->更新目录（在线书与本地 TXT/EPUB 分别验证）,确认在线失败提示收敛为“加载目录失败”且本地失败提示收敛为 LoadTocError 前缀并移除成功扩展提示
84,book_read.xml,@+id/menu_effective_replaces,@string/effective_replaces,起效的替换,阅读与朗读,P3,done,codex,手工路径: 阅读页->阅读操作->起效的替换; 选择命中规则进入编辑并保存返回; 选择“繁简转换”并切换模式,阅读菜单入口从规则总列表收敛为当前章节起效替换弹层；仅展示当前章节正文实际命中的替换规则并在简繁转换开启时追加“繁简转换”；编辑后按 replaceRuleChanged 语义重载当前章节
85,book_read.xml,@+id/menu_log,@string/log,日志,阅读与朗读,P3,done,codex,命令: dart format lib/features/reader/views/simple_reader_view.dart；手工路径（待回归）: 阅读页->阅读操作->日志；校验点击后直接弹出日志弹层并可关闭且保持阅读页停留,对齐 legado book_read/menu_log + ReadBookActivity.onCompatOptionsItemSelected(menu_log) 语义: 阅读菜单日志入口动作收敛为 showAppLogDialog；不再跳转异常日志页；不提前并入 menu_help(seq86)
86,book_read.xml,@+id/menu_help,@string/help,帮助,阅读与朗读,P3,done,codex,命令: dart format lib/features/reader/views/simple_reader_view.dart；手工路径（待回归）: 阅读页->阅读操作->帮助；校验点击后读取 assets/web/help/md/readMenuHelp.md 并弹出帮助文档，关闭后保持当前阅读会话不跳转异常日志页,对齐 legado book_read/menu_help + ReadBookActivity.onCompatOptionsItemSelected(menu_help) + showHelp("readMenuHelp") 语义: 帮助入口收敛为文档弹层承载；补齐同源资产 readMenuHelp.md；失败分支提示“帮助文档加载失败：<error>”
87,book_read_change_source.xml,@+id/menu_chapter_change_source,@string/chapter_change_source,单章换源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部换源按钮长按->单章换源->选择候选书源->选择目标章节; 校验当前章节正文被替换且阅读位置保持在当前章节,单章换源流程收敛为“先选书源再选目标章节后替换当前章节正文”；移除自动匹配章节后立即覆盖与成功提示扩展分支，对齐 legado ChangeChapterSourceDialog 的手动选章语义
88,book_read_change_source.xml,@+id/menu_book_change_source,@string/book_change_source,整书换源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部换源按钮长按->整书换源->选择候选书源; 校验整书来源与目录切换生效且无成功提示,分支菜单文案由“书籍换源”收敛为 legado 同义“整书换源”；整书换源成功反馈收敛为静默不再弹“已切换到...”扩展 toast；触发链路保持与 menu_change_source 同步复用整书换源流程
91,book_read_record.xml,@+id/menu_sort_read_long,@string/reading_time_sort,阅读时长排序,阅读与朗读,P3,done,codex,命令: dart format lib/core/services/settings_service.dart lib/features/reader/views/simple_reader_view.dart lib/features/bookshelf/views/reading_history_view.dart；命令: dart analyze lib/core/services/settings_service.dart lib/features/reader/views/simple_reader_view.dart lib/features/bookshelf/views/reading_history_view.dart；手工路径（待回归）: 设置->阅读记录->右上角更多->阅读时长排序；阅读页持续阅读后返回阅读记录页,对齐 legado book_read_record/menu_sort_read_long + ReadRecordActivity(sortMode=1) 语义：阅读记录页更多菜单补齐“阅读时长排序”单项入口并按 readRecordSort=1 回显勾选；点击后仅切换排序模式并按累计阅读时长降序刷新列表；补齐阅读页会话时长累计持久化与清除阅读记录时长清理；不提前并入 menu_sort/menu_sort_name/menu_sort_read_time(seq89/90/92)
92,book_read_record.xml,@+id/menu_sort_read_time,@string/last_read_time_sort,阅读时间排序,阅读与朗读,P3,pending,-,-,-
93,book_read_record.xml,@+id/menu_enable_record,@string/enable_record,开启记录,阅读与朗读,P3,done,codex,手工路径: 设置->功能 & 设置->阅读记录->右上角更多->开启记录; 校验勾选态切换与重进页面保持,对齐 legado menu_enable_record checkable 语义：菜单打开按 enableReadRecord 回显勾选；点击仅翻转开关并持久化，不追加提示；阅读进度保存保持不变且仅在开关关闭时不刷新 lastReadTime
94,book_read_refresh.xml,@+id/menu_refresh_dur,@string/menu_refresh_dur,刷新当前章节,阅读与朗读,P3,done,codex,flutter test test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(点击) 与 阅读页->顶部刷新按钮(长按)->刷新当前章节; 确认 menu_refresh 与 menu_refresh_dur 同分支并默认执行刷新当前章节,
95,book_read_refresh.xml,@+id/menu_refresh_after,@string/menu_refresh_after,刷新之后章节,阅读与朗读,P3,done,codex,flutter test test/reader_refresh_scope_helper_test.dart test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(长按)->刷新之后章节; 确认从当前章节开始清理后续缓存并触发当前章节重载，前序章节缓存保持不变,
96,book_read_refresh.xml,@+id/menu_refresh_all,@string/menu_refresh_all,刷新全部章节,阅读与朗读,P3,done,codex,flutter test test/reader_refresh_scope_helper_test.dart test/reader_legacy_menu_helper_test.dart test/reader_top_menu_test.dart test/simple_reader_view_compile_test.dart 通过; 手工路径: 阅读页->顶部刷新按钮(长按)->刷新全部章节; 确认从首章开始清理全量章节缓存并回写变更章节，随后重载当前章节，且无可用书源时回落当前章节重载,
97,book_read_source.xml,@+id/menu_login,@string/login,登录,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书)->顶部书源名->登录; 校验 loginUrl 为空时菜单不显示登录，loginUrl 非空点击后可进入登录流程（表单登录或网页登录）,登录动作改为按 bookSourceUrl 回查当前书源后再触发，缺失时提示“未找到书源”，以对齐 legado SourceLoginActivity 的实时状态边界
